LONGITUDE;LATITUDE;NO_MUNICIPIO;NO_REGIAO;SG_UF;CO_MUNICIPIO;Total -educacao infantil;PrÃ©-Escola;Total - findamental;Ensino MÃ©dio;EducaÃ§Ã£o Profissional;EducaÃ§Ã£o de Jovens e Adultos (EJA);EducaÃ§Ã£o Especial;terrai_nome;etnia_nome;modalidade_ti;faixa_fronteira;ha-terra-indigena
-51.684.935;-2.927.271;coronel pilar;Sul;RS;4305934.0;100.0;100.0;100.0;83.3;0.0;0.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-55.541.328;-23.276.445;coronel sapucaia;Centro-Oeste;MS;5003157.0;73.0;70.6;72.9;97.7;0.0;100.0;83.3;Taquaperi;Guarani Kaiowá;Tradicionalmente ocupada;Sim;sim
-52.567.087;-25.978.153;coronel vivida;Sul;PR;4106506.0;93.3;96.2;97.4;100.0;100.0;100.0;100.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-44.228.624;-21.024.595;coronel xavier chaves;Sudeste;MG;3119708.0;100.0;100.0;100.0;90.9;0.0;0.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-50.363.761;-27.584.808;correia pinto;Sul;SC;4204558.0;84.8;77.6;81.2;88.9;0.0;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-45.163.313;-10.440.936;corrente;Nordeste;PI;2202901.0;67.5;68.6;82.9;94.9;100.0;85.3;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-36.329.702;-9.128.666;correntes;Nordeste;PE;2604700.0;93.8;90.0;97.2;100.0;0.0;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-44.641.087;-13.341.772;correntina;Nordeste;BA;2909307.0;93.8;93.0;93.3;94.6;0.0;93.5;100.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-60.948.701;-1.299.752;corumbiara;Norte;RO;1100072.0;87.5;81.8;98.0;100.0;0.0;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-36.176.078;-10.126.547;coruripe;Nordeste;AL;2702306.0;96.3;95.5;97.2;98.5;100.0;99.3;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-4.977.886;-20.477.035;cosmorama;Sudeste;SP;3512902.0;97.7;96.2;94.1;95.7;0.0;0.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-64.231.654;-12.436.014;costa marques;Norte;RO;1100080.0;53.6;52.6;75.4;97.5;0.0;91.7;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
