LONGITUDE;LATITUDE;NO_MUNICIPIO;NO_REGIAO;SG_UF;CO_MUNICIPIO;Total -educacao infantil;PrÃ©-Escola;Total - findamental;Ensino MÃ©dio;EducaÃ§Ã£o Profissional;EducaÃ§Ã£o de Jovens e Adultos (EJA);EducaÃ§Ã£o Especial;terrai_nome;etnia_nome;modalidade_ti;faixa_fronteira;ha-terra-indigena
-51.310.419;-29.999.293;eldorado do sul;Sul;RS;4306767.0;69.6;85.5;91.7;96.7;0.0;96.2;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-47.376.774;-23.042.537;elias fausto;Sudeste;SP;3514908.0;97.2;100.0;97.2;90.9;0.0;0.0;100.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-43.664.811;-8.096.462;eliseu martins;Nordeste;PI;2203602.0;71.4;66.7;92.9;88.2;100.0;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-37.714.586;-7.107.992;emas;Nordeste;PB;2505907.0;15.8;18.2;71.8;83.3;0.0;66.7;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-51.873.023;-29.239.917;encantado;Sul;RS;4306809.0;60.7;64.5;96.0;98.2;100.0;0.0;90.9;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-38.304.879;-6.111.134;encanto;Nordeste;RN;2403301.0;75.0;77.8;92.2;100.0;0.0;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-40.909.121;-1.553.458;encruzilhada;Nordeste;BA;2910404.0;65.9;67.9;84.0;96.3;0.0;93.5;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-52.522.045;-30.543.657;encruzilhada do sul;Sul;RS;4306908.0;29.8;33.3;81.3;95.7;100.0;91.7;33.3;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-42.049.842;-19.198.103;engenheiro caldas;Sudeste;MG;3123700.0;76.9;82.4;95.9;96.0;0.0;95.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-4.721.308;-2.249.119;engenheiro coelho;Sudeste;SP;3515152.0;99.5;98.7;96.9;98.2;0.0;100.0;100.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-43.949.415;-17.287.753;engenheiro navarro;Sudeste;MG;3123809.0;100.0;100.0;92.5;100.0;0.0;95.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-43.679.477;-22.543.685;engenheiro paulo de frontin;Sudeste;RJ;3301801.0;51.3;60.0;76.9;97.3;0.0;0.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-52.911.921;-27.708.587;engenho velho;Sul;RS;4306924.0;54.5;62.5;88.9;100.0;0.0;0.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-4.223.236;-19.627.783;entre folhas;Sudeste;MG;3123858.0;73.7;77.8;100.0;95.0;0.0;0.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-38.078.777;-11.937.261;entre rios;Nordeste;BA;2910503.0;63.9;62.5;75.9;91.9;0.0;95.2;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-38.078.777;-11.937.261;entre rios;Sul;SC;4205175.0;50.0;42.9;67.5;75.0;0.0;63.6;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-52.562.534;-26.723.621;entre rios;Nordeste;BA;2910503.0;63.9;62.5;75.9;91.9;0.0;95.2;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-52.562.534;-26.723.621;entre rios;Sul;SC;4205175.0;50.0;42.9;67.5;75.0;0.0;63.6;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-44.067.082;-20.671.357;entre rios de minas;Sudeste;MG;3123908.0;90.0;91.7;97.3;95.2;86.7;96.3;100.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-54.244.894;-24.708.142;entre rios do oeste;Sul;PR;4107538.0;86.5;100.0;100.0;100.0;0.0;0.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-52.735.068;-27.528.858;entre rios do sul;Sul;RS;4306957.0;93.8;88.9;88.9;91.7;0.0;0.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-70.030.413;-7.439.818;envira;Norte;AM;1301506.0;82.5;84.4;62.6;100.0;85.7;67.6;0.0;Cacau do Tarauaca;Kulina Páno;Tradicionalmente ocupada;Não;sim
-36.716.412;-6.945.843;equador;Nordeste;RN;2403400.0;87.5;87.5;100.0;100.0;0.0;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-52.299.711;-27.849.196;erebango;Sul;RS;4306973.0;84.6;71.4;93.2;100.0;0.0;60.0;0.0;Ventarra;Kaingang;Tradicionalmente ocupada;Não;sim
-52.275.877;-27.633.406;erechim;Sul;RS;4307005.0;82.7;89.0;96.2;98.7;100.0;96.6;71.4;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-49.643.405;-28.985.082;ermo;Sul;SC;4205191.0;100.0;100.0;96.4;88.2;0.0;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-52.572.176;-28.497.155;ernestina;Sul;RS;4307054.0;96.2;94.1;91.5;100.0;0.0;0.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-52.570.112;-27.393.337;erval grande;Sul;RS;4307203.0;88.0;92.3;100.0;100.0;0.0;0.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-53.509.573;-27.549.417;erval seco;Sul;RS;4307302.0;77.4;81.3;90.4;93.5;0.0;93.3;87.5;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-51.443.433;-27.273.895;erval velho;Sul;SC;4205209.0;100.0;100.0;96.8;90.0;0.0;0.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-35.236.157;-8.362.522;escada;Nordeste;PE;2605202.0;47.3;47.9;65.4;92.8;100.0;95.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-51.188.794;-28.057.276;esmeralda;Sul;RS;4307401.0;100.0;100.0;93.5;100.0;0.0;0.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-44.314.807;-19.759.201;esmeraldas;Sudeste;MG;3124104.0;95.8;95.7;97.5;96.1;100.0;96.0;90.9;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-41.913.935;-20.643.708;espera feliz;Sudeste;MG;3124203.0;93.1;92.9;96.4;95.6;66.7;97.2;94.7;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-48.544.148;-5.366.608;esperantina;Norte;TO;1707405.0;70.4;62.5;79.4;98.0;0.0;66.7;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-48.544.148;-5.366.608;esperantina;Nordeste;PI;2203701.0;71.3;78.1;83.6;88.5;100.0;98.6;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-42.235.365;-3.895.605;esperantina;Norte;TO;1707405.0;70.4;62.5;79.4;98.0;0.0;66.7;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-42.235.365;-3.895.605;esperantina;Nordeste;PI;2203701.0;71.3;78.1;83.6;88.5;100.0;98.6;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-42.812.982;-14.925.272;espinosa;Sudeste;MG;3124302.0;93.4;98.7;99.4;98.2;100.0;100.0;100.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-37.944.981;-11.799.409;esplanada;Nordeste;BA;2910602.0;73.2;69.0;80.9;91.4;80.0;90.5;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-52.841.927;-28.731.445;espumoso;Sul;RS;4307500.0;78.5;85.7;93.3;97.2;0.0;0.0;100.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-51.143.837;-29.852.186;esteio;Sul;RS;4307708.0;73.8;77.2;90.6;93.6;95.8;100.0;84.6;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-46.016.352;-22.463.045;estiva;Sudeste;MG;3124500.0;97.2;100.0;98.7;100.0;0.0;0.0;87.5;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-46.953.603;-22.274.589;estiva gerbi;Sudeste;SP;3557303.0;98.0;96.6;95.1;100.0;0.0;100.0;100.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-47.447.883;-6.568.085;estreito;Nordeste;MA;2104057.0;67.9;70.0;80.9;95.5;0.0;100.0;70.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
