terrai_nome;etnia_nome;municipio_nome;uf_sigla;superficie_perimetro_ha;fase_ti;modalidade_ti;reestudo_ti;faixa_fronteira;NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;Total -educacao infantil;Creche;Pré-Escola;Total - findamental;Anos Iniciais fundamental;Anos Finais -fundamental;Ensino Médio;Educação Profissional;Educação de Jovens e Adultos (EJA);Educação Especial
Estação Parecis;Paresí;Diamantino;MT;2170;Declarada;Tradicionalmente ocupada;;Não;2022;Centro-Oeste;MT;5103502.0;Diamantino;Rural;100;100;100;95,9;100;93,1;93,8;--;91,7;--
Estivadinho;Paresí;Tangará da Serra;MT;2031,9414;Regularizada;Tradicionalmente ocupada;;Não;2022;Centro-Oeste;MT;5107958.0;Tangará da Serra;Total;94,5;95,8;93,4;97;98,5;96;97,4;76;90,5;94,7
Estivadinho;Paresí;Tangará da Serra;MT;2031,9414;Regularizada;Tradicionalmente ocupada;;Não;2022;Centro-Oeste;MT;5107958.0;Tangará da Serra;Urbana;98,7;97,8;99,2;99,7;99,7;99,7;100;76;100;94,7
Estivadinho;Paresí;Tangará da Serra;MT;2031,9414;Regularizada;Tradicionalmente ocupada;;Não;2022;Centro-Oeste;MT;5107958.0;Tangará da Serra;Rural;56;50;57,9;82,4;87,5;82,4;84,1;--;69;--
Estrada do Mar;Guarani Mbya;Osório;RS;45;Regularizada;Reserva Indígena;;Não;2022;Sul;RS;4313508.0;Osório;Total;78;74,3;81,1;90,4;87,5;91,5;92,6;100;96,8;87,5
Estrada do Mar;Guarani Mbya;Osório;RS;45;Regularizada;Reserva Indígena;;Não;2022;Sul;RS;4313508.0;Osório;Urbana;76,2;73,9;78,8;89,3;85,7;90,7;92,6;100;97,9;87,5
Estrada do Mar;Guarani Mbya;Osório;RS;45;Regularizada;Reserva Indígena;;Não;2022;Sul;RS;4313508.0;Osório;Rural;93,8;100;93,3;95,6;96,4;95,2;--;--;93,8;--
Estrela da Paz;Tikúna;Jutaí;AM;12876,4893;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1302306.0;Jutaí;Total;23,6;19;25,9;42,2;36,2;47,8;97,7;--;62;--
Estrela da Paz;Tikúna;Jutaí;AM;12876,4893;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1302306.0;Jutaí;Urbana;26,7;21,4;29,3;69,3;56;89,2;100;--;93,5;--
Estrela da Paz;Tikúna;Jutaí;AM;12876,4893;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1302306.0;Jutaí;Rural;17,1;14,3;18,5;20,2;15,1;24,8;96,9;--;10,5;--
Faxinal;Kaingang;Cândido de Abreu;PR;2043,8948;Regularizada;Dominial Indígena;;Não;2022;Sul;PR;4104402.0;Cândido de Abreu;Total;94,4;100;88,5;97,2;93,5;98,9;96,5;--;100;100
Faxinal;Kaingang;Cândido de Abreu;PR;2043,8948;Regularizada;Dominial Indígena;;Não;2022;Sul;PR;4104402.0;Cândido de Abreu;Urbana;100;100;100;100;100;100;95,7;--;100;100
Faxinal;Kaingang;Cândido de Abreu;PR;2043,8948;Regularizada;Dominial Indígena;;Não;2022;Sul;PR;4104402.0;Cândido de Abreu;Rural;76,9;--;76,9;95,2;86,2;98,3;97,5;--;--;100
Fazenda Bahiana;Pataxó;Camamu;BA;304,56;Regularizada;Reserva Indígena;;Não;2022;Nordeste;BA;2905800.0;Camamu;Total;46,3;33,3;47,6;69,2;58,1;75,6;89,4;--;64,4;--
Fazenda Bahiana;Pataxó;Camamu;BA;304,56;Regularizada;Reserva Indígena;;Não;2022;Nordeste;BA;2905800.0;Camamu;Urbana;23,1;11,1;26,3;67,8;42,3;78,6;89,4;--;85,7;--
Fazenda Bahiana;Pataxó;Camamu;BA;304,56;Regularizada;Reserva Indígena;;Não;2022;Nordeste;BA;2905800.0;Camamu;Rural;67,9;66,7;65,2;70,8;67,9;71,4;--;--;33,3;--
Fazenda Boa Vista - MG;Xucuru - Kariri;Caldas;MG;101;Regularizada;Reserva Indígena;;Não;2022;Sudeste;MG;3110301.0;Caldas;Total;90;100;85,2;74,4;90,4;58,8;49,1;93,3;44,4;--
Fazenda Boa Vista - MG;Xucuru - Kariri;Caldas;MG;101;Regularizada;Reserva Indígena;;Não;2022;Sudeste;MG;3110301.0;Caldas;Urbana;97,1;100;95,2;96,1;97,4;94,7;96,3;93,3;100;--
Fazenda Boa Vista - MG;Xucuru - Kariri;Caldas;MG;101;Regularizada;Reserva Indígena;;Não;2022;Sudeste;MG;3110301.0;Caldas;Rural;50;--;50;34,1;71,4;13,3;3,6;--;0;--
Fazenda Canto;Xucuru - Kariri;Palmeira dos Índios;AL;276,5494;Regularizada;Reserva Indígena;;Não;2022;Nordeste;AL;2706307.0;Palmeira dos Índios;Total;68,5;66,7;69,7;91;84,9;94,8;98,2;96,8;76,4;--
Fazenda Canto;Xucuru - Kariri;Palmeira dos Índios;AL;276,5494;Regularizada;Reserva Indígena;;Não;2022;Nordeste;AL;2706307.0;Palmeira dos Índios;Urbana;68;66,2;69,7;91,2;83,2;96,2;99,1;96,8;83,5;--
Fazenda Canto;Xucuru - Kariri;Palmeira dos Índios;AL;276,5494;Regularizada;Reserva Indígena;;Não;2022;Nordeste;AL;2706307.0;Palmeira dos Índios;Rural;69,4;67,4;69,8;90,5;88,1;92,2;94,8;--;70,9;--
Fazenda Cristo Rei;Pankararú;Jatobá;PE;0;Encaminhada RI;Reserva Indígena;;Não;2022;Nordeste;MA;2105450.0;Jatobá;Total;76,7;58,3;88,9;96,3;94,7;97,7;86,7;--;100;--
Fazenda Cristo Rei;Pankararú;Jatobá;PE;0;Encaminhada RI;Reserva Indígena;;Não;2022;Nordeste;MA;2105450.0;Jatobá;Urbana;100;100;100;97,4;100;96,2;86,7;--;100;--
Fazenda Cristo Rei;Pankararú;Jatobá;PE;0;Encaminhada RI;Reserva Indígena;;Não;2022;Nordeste;MA;2105450.0;Jatobá;Rural;63,2;28,6;83,3;95,8;93,2;98,3;--;--;--;--
Fazenda Cristo Rei;Pankararú;Jatobá;PE;0;Encaminhada RI;Reserva Indígena;;Não;2022;Nordeste;PE;2608057.0;Jatobá;Total;32,9;20;43,9;55;51,9;57,6;68,1;--;43,5;--
Fazenda Cristo Rei;Pankararú;Jatobá;PE;0;Encaminhada RI;Reserva Indígena;;Não;2022;Nordeste;PE;2608057.0;Jatobá;Urbana;95;100;92,3;94,7;93,9;96,3;100;--;100;--
Fazenda Cristo Rei;Pankararú;Jatobá;PE;0;Encaminhada RI;Reserva Indígena;;Não;2022;Nordeste;PE;2608057.0;Jatobá;Rural;10,7;0;21,4;35,1;21,7;43,1;42,5;--;28,6;--
Fazenda Jenipapeiro;Atikum;Santa Rita de Cássia;BA;1505,1308;Encaminhada RI;Reserva Indígena;;Não;2022;Nordeste;BA;2928406.0;Santa Rita de Cássia;Total;49,4;52,4;50,7;68,4;51,3;74,1;92,9;100;77,8;--
Fazenda Jenipapeiro;Atikum;Santa Rita de Cássia;BA;1505,1308;Encaminhada RI;Reserva Indígena;;Não;2022;Nordeste;BA;2928406.0;Santa Rita de Cássia;Urbana;50;56,3;51,3;70,1;54,8;80,6;92,9;100;83,3;--
Fazenda Jenipapeiro;Atikum;Santa Rita de Cássia;BA;1505,1308;Encaminhada RI;Reserva Indígena;;Não;2022;Nordeste;BA;2928406.0;Santa Rita de Cássia;Rural;48,6;40;50;66,2;41,9;68,6;--;--;33,3;--
Fazenda Sítio;Tuxá;Quijingue;BA;409,8834;Regularizada;Reserva Indígena;;Não;2022;Nordeste;BA;2925907.0;Quijingue;Total;64;61,5;68,6;73,1;65,9;76,3;100;--;68,3;--
Fazenda Sítio;Tuxá;Quijingue;BA;409,8834;Regularizada;Reserva Indígena;;Não;2022;Nordeste;BA;2925907.0;Quijingue;Urbana;66,7;64,7;69,2;85,3;82,1;87,7;100;--;94,7;--
Fazenda Sítio;Tuxá;Quijingue;BA;409,8834;Regularizada;Reserva Indígena;;Não;2022;Nordeste;BA;2925907.0;Quijingue;Rural;62,5;60;68,2;62,3;52,2;65,8;100;--;45,5;--
Fortaleza do Castanho;Múra;Manaquiri;AM;2756,1622;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1302553.0;Manaquiri;Total;76;81,8;75;76,3;79,3;77,8;100;100;66,2;100
Fortaleza do Castanho;Múra;Manaquiri;AM;2756,1622;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1302553.0;Manaquiri;Urbana;87,5;100;83,3;93,1;95,6;92,1;100;100;100;100
Fortaleza do Castanho;Múra;Manaquiri;AM;2756,1622;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1302553.0;Manaquiri;Rural;70,6;71,4;71,4;69,7;69,7;73,7;100;--;36,8;--
Fortaleza do Patauá;Apurinã;Manacapuru;AM;743,5829;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1302504.0;Manacapuru;Total;58,6;52,7;63,6;77,1;75;80,9;99,8;95,5;97,9;88,2
Fortaleza do Patauá;Apurinã;Manacapuru;AM;743,5829;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1302504.0;Manacapuru;Urbana;63,3;58,9;67,7;87,9;84,9;92,4;99,5;95,5;97,2;--
Fortaleza do Patauá;Apurinã;Manacapuru;AM;743,5829;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1302504.0;Manacapuru;Rural;45,1;33,3;51,5;66,4;61,9;72,3;100;--;100;88,2
Funil;Xerente ;Tocantínia;TO;15703,7974;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;TO;1721109.0;Tocantínia;Total;23,8;62,5;17,1;48,2;66,7;44,9;83,3;--;47,2;--
Funil;Xerente ;Tocantínia;TO;15703,7974;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;TO;1721109.0;Tocantínia;Urbana;77,8;60;100;89,5;76,5;100;100;--;91,7;--
Funil;Xerente ;Tocantínia;TO;15703,7974;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;TO;1721109.0;Tocantínia;Rural;9,1;66,7;6,5;36,2;57,9;34,8;70;--;34,1;--
Galibi;Galibi do Oiapoque;Oiapoque;AP;6689,1928;Regularizada;Tradicionalmente ocupada;;Sim;2022;Norte;AP;1600501.0;Oiapoque;Total;50;67,5;39,4;68,9;56;83,2;92,2;--;92,2;--
Galibi;Galibi do Oiapoque;Oiapoque;AP;6689,1928;Regularizada;Tradicionalmente ocupada;;Sim;2022;Norte;AP;1600501.0;Oiapoque;Urbana;62,9;69,4;55,9;86,4;77,7;100;100;--;96,7;--
Galibi;Galibi do Oiapoque;Oiapoque;AP;6689,1928;Regularizada;Tradicionalmente ocupada;;Sim;2022;Norte;AP;1600501.0;Oiapoque;Rural;25;50;21,9;54,1;34,5;72,6;86,4;--;85,7;--
Gavião;Múra;Careiro da Várzea;AM;8611,8548;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1301159.0;Careiro da Várzea;Total;97,3;100;97;94,3;89,5;96,4;100;100;96,9;--
Gavião;Múra;Careiro da Várzea;AM;8611,8548;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1301159.0;Careiro da Várzea;Urbana;100;100;100;96,3;93,5;96,8;100;100;100;--
Gavião;Múra;Careiro da Várzea;AM;8611,8548;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1301159.0;Careiro da Várzea;Rural;95,8;100;95,5;94;88,4;96,4;100;--;94,9;--
Geripancó;Jeripancó;Pariconha;AL;200;Regularizada;Tradicionalmente ocupada;;Não;2022;Nordeste;AL;2706422.0;Pariconha;Total;90,3;100;88;94,6;88,6;98,3;100;--;75;--
Geripancó;Jeripancó;Pariconha;AL;200;Regularizada;Tradicionalmente ocupada;;Não;2022;Nordeste;AL;2706422.0;Pariconha;Urbana;100;100;100;94,6;88,2;100;100;--;100;--
Geripancó;Jeripancó;Pariconha;AL;200;Regularizada;Tradicionalmente ocupada;;Não;2022;Nordeste;AL;2706422.0;Pariconha;Rural;83,3;--;83,3;94,6;88,9;97,4;100;--;55,6;--
Governador;Tenetehara,Gavião Pukobiê;Amarante do Maranhão;MA;41643,7567;Regularizada;Tradicionalmente ocupada;;Não;2022;Nordeste;MA;2100600.0;Amarante do Maranhão;Total;29,7;27,3;30,4;35,3;25,4;41,3;59,4;--;67,7;--
Governador;Tenetehara,Gavião Pukobiê;Amarante do Maranhão;MA;41643,7567;Regularizada;Tradicionalmente ocupada;;Não;2022;Nordeste;MA;2100600.0;Amarante do Maranhão;Urbana;28,3;12,5;36,7;55,8;41;65,8;62,6;--;88,2;--
Governador;Tenetehara,Gavião Pukobiê;Amarante do Maranhão;MA;41643,7567;Regularizada;Tradicionalmente ocupada;;Não;2022;Nordeste;MA;2100600.0;Amarante do Maranhão;Rural;31,1;66,7;25,6;26,5;16,3;32,3;52,3;--;42,9;--
Guaimbé;Guarani Kaiowá;Laguna Carapã;MS;716,9316;Regularizada;Tradicionalmente ocupada;;Sim;2022;Centro-Oeste;MS;5005251.0;Laguna Carapã;Total;88,9;100;84,2;72,2;70,9;75;77,8;--;--;--
Guaimbé;Guarani Kaiowá;Laguna Carapã;MS;716,9316;Regularizada;Tradicionalmente ocupada;;Sim;2022;Centro-Oeste;MS;5005251.0;Laguna Carapã;Urbana;100;100;100;97,7;100;96;77,8;--;--;--
Guaimbé;Guarani Kaiowá;Laguna Carapã;MS;716,9316;Regularizada;Tradicionalmente ocupada;;Sim;2022;Centro-Oeste;MS;5005251.0;Laguna Carapã;Rural;66,7;--;66,7;41,7;46,7;40;--;--;--;--
Guajahã;Apurinã;Pauini;AM;5036,8446;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1303502.0;Pauini;Total;84,6;81,8;86,7;56,6;44,3;86,1;100;100;96,7;--
Guajahã;Apurinã;Pauini;AM;5036,8446;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1303502.0;Pauini;Urbana;88;81,8;92,9;95,8;92,6;100;100;100;100;--
Guajahã;Apurinã;Pauini;AM;5036,8446;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1303502.0;Pauini;Rural;0;--;0;20,6;13,9;59,3;100;--;77,8;--
Guajanaíra;Guajajara;Itupiranga;PA;1368,0837;Encaminhada RI;Reserva Indígena;Principal;Não;2022;Norte;PA;1503705.0;Itupiranga;Total;87,3;0;88,9;95,2;92,4;96,9;98,9;--;96;--
Guajanaíra;Guajajara;Itupiranga;PA;1368,0837;Encaminhada RI;Reserva Indígena;Principal;Não;2022;Norte;PA;1503705.0;Itupiranga;Urbana;85,2;0;88,5;99,4;98,7;100;100;--;100;--
Guajanaíra;Guajajara;Itupiranga;PA;1368,0837;Encaminhada RI;Reserva Indígena;Principal;Não;2022;Norte;PA;1503705.0;Itupiranga;Rural;89,3;--;89,3;93,5;88,4;96;96,7;--;91,7;--
Guanabara;Kokama;Benjamin Constant;AM;15600;Declarada;Tradicionalmente ocupada;;Sim;2022;Norte;AM;1300607.0;Benjamin Constant;Total;65;65,7;64,3;79,1;76,1;82;91,4;81,3;97,8;--
Guanabara;Kokama;Benjamin Constant;AM;15600;Declarada;Tradicionalmente ocupada;;Sim;2022;Norte;AM;1300607.0;Benjamin Constant;Urbana;94,4;94,1;92,3;94,8;94,6;95;100;81,3;97,7;--
Guanabara;Kokama;Benjamin Constant;AM;15600;Declarada;Tradicionalmente ocupada;;Sim;2022;Norte;AM;1300607.0;Benjamin Constant;Rural;39,7;38,9;40;67,2;59,8;73,8;86;--;100;--
Guarani Araponga;Guaraní;Paraty;RJ;213,2033;Regularizada;Tradicionalmente ocupada;;Não;2022;Sudeste;RJ;3303807.0;Paraty;Total;74;75;73,8;86,4;72,1;94,2;95,1;--;100;--
Guarani Araponga;Guaraní;Paraty;RJ;213,2033;Regularizada;Tradicionalmente ocupada;;Não;2022;Sudeste;RJ;3303807.0;Paraty;Urbana;73;73,9;72,7;85,3;66,4;93,8;95,1;--;100;--
Guarani Araponga;Guaraní;Paraty;RJ;213,2033;Regularizada;Tradicionalmente ocupada;;Não;2022;Sudeste;RJ;3303807.0;Paraty;Rural;76,5;83,3;75,9;88,8;80,5;95,3;--;--;100;--
Guarani Votouro;Guaraní;Benjamin Constant do Sul;RS;717,377;Regularizada;Tradicionalmente ocupada;;Sim;2022;Sul;RS;4302055.0;Benjamin Constant do Sul;Total;54,5;50;57,1;81,5;80;83,3;80;--;50;--
Guarani Votouro;Guaraní;Benjamin Constant do Sul;RS;717,377;Regularizada;Tradicionalmente ocupada;;Sim;2022;Sul;RS;4302055.0;Benjamin Constant do Sul;Urbana;100;100;100;92,9;80;100;100;--;--;--
Guarani Votouro;Guaraní;Benjamin Constant do Sul;RS;717,377;Regularizada;Tradicionalmente ocupada;;Sim;2022;Sul;RS;4302055.0;Benjamin Constant do Sul;Rural;28,6;0;40;69,2;80;66,7;62,5;--;50;--
Guarani da Barragem;Guarani Kaiowá;São Paulo;SP;26,3;Regularizada;Tradicionalmente ocupada;;Não;2022;Sudeste;SP;3550308.0;São Paulo;Total;94,5;93,9;95,8;97;96,8;97,5;96,7;96,2;97,4;97,1
Guarani da Barragem;Guarani Kaiowá;São Paulo;SP;26,3;Regularizada;Tradicionalmente ocupada;;Não;2022;Sudeste;SP;3550308.0;São Paulo;Urbana;94,5;94;95,8;97;96,8;97,5;96,7;96,2;97,4;97,1
Guarani da Barragem;Guarani Kaiowá;São Paulo;SP;26,3;Regularizada;Tradicionalmente ocupada;;Não;2022;Sudeste;SP;3550308.0;São Paulo;Rural;73,1;73,8;63,2;94,4;92;100;100;--;--;--
Guarani de Bracui;Guaraní;Angra dos Reis;RJ;2127,8664;Regularizada;Tradicionalmente ocupada;;Não;2022;Sudeste;RJ;3300100.0;Angra dos Reis;Total;45,1;45,8;44,9;78,1;52,9;93,2;93,4;60,3;98,4;86,7
Guarani de Bracui;Guaraní;Angra dos Reis;RJ;2127,8664;Regularizada;Tradicionalmente ocupada;;Não;2022;Sudeste;RJ;3300100.0;Angra dos Reis;Urbana;45,4;46,6;44,8;78,6;52,9;93,5;93,3;60,3;98,4;86,7
Guarani de Bracui;Guaraní;Angra dos Reis;RJ;2127,8664;Regularizada;Tradicionalmente ocupada;;Não;2022;Sudeste;RJ;3300100.0;Angra dos Reis;Rural;38,5;0;45,5;70,7;52,3;87,8;96,2;--;--;--
Guarani de Águas Brancas;Guaraní;Arambaré;RS;230;Declarada;Tradicionalmente ocupada;;Não;2022;Sul;RS;4300851.0;Arambaré;Total;100;100;100;100;100;100;100;--;100;--
Guarani de Águas Brancas;Guaraní;Arambaré;RS;230;Declarada;Tradicionalmente ocupada;;Não;2022;Sul;RS;4300851.0;Arambaré;Urbana;100;100;100;100;100;100;100;--;100;--
Guarani de Águas Brancas;Guaraní;Arambaré;RS;230;Declarada;Tradicionalmente ocupada;;Não;2022;Sul;RS;4300851.0;Arambaré;Rural;100;--;100;100;100;100;--;--;--;--
Guarani do Aguapeu;Guaraní;Mongaguá;SP;4372,2599;Regularizada;Tradicionalmente ocupada;;Não;2022;Sudeste;SP;3531100.0;Mongaguá;Total;90,3;87,1;92,3;95,9;99,6;92,7;97,5;100;89,5;76,9
Guarani do Aguapeu;Guaraní;Mongaguá;SP;4372,2599;Regularizada;Tradicionalmente ocupada;;Não;2022;Sudeste;SP;3531100.0;Mongaguá;Urbana;90,8;87,1;93,1;97,8;99,6;96,2;97,5;100;94,4;76,9
Guarani do Aguapeu;Guaraní;Mongaguá;SP;4372,2599;Regularizada;Tradicionalmente ocupada;;Não;2022;Sudeste;SP;3531100.0;Mongaguá;Rural;50;--;50;0;--;0;--;--;0;--
Guasuti;Guarani Kaiowá;Aral Moreira;MS;958,7993;Regularizada;Tradicionalmente ocupada;;Sim;2022;Centro-Oeste;MS;5001243.0;Aral Moreira;Total;86,1;92,3;81,5;92,7;87,7;98,6;98,4;--;100;--
Guasuti;Guarani Kaiowá;Aral Moreira;MS;958,7993;Regularizada;Tradicionalmente ocupada;;Sim;2022;Centro-Oeste;MS;5001243.0;Aral Moreira;Urbana;95,2;90,9;92,9;100;100;100;100;--;100;--
Guasuti;Guarani Kaiowá;Aral Moreira;MS;958,7993;Regularizada;Tradicionalmente ocupada;;Sim;2022;Centro-Oeste;MS;5001243.0;Aral Moreira;Rural;73,3;100;69,2;81,7;75;95;94,1;--;--;--
Guató;Guató ;Corumbá;MS;10984,7941;Regularizada;Tradicionalmente ocupada;;Sim;2022;Centro-Oeste;MS;5003207.0;Corumbá;Total;97,9;98,1;97,8;97,7;97,8;97,6;99;100;99;100
Guató;Guató ;Corumbá;MS;10984,7941;Regularizada;Tradicionalmente ocupada;;Sim;2022;Centro-Oeste;MS;5003207.0;Corumbá;Urbana;98,3;98,1;98,3;97,9;97,7;98,1;99,4;100;99;100
Guató;Guató ;Corumbá;MS;10984,7941;Regularizada;Tradicionalmente ocupada;;Sim;2022;Centro-Oeste;MS;5003207.0;Corumbá;Rural;93,9;100;93,9;96;98,4;94;71,4;--;--;--
Guaviraty;Guarani Mbya;Iguape;SP;1248;Delimitada;Tradicionalmente ocupada;;Não;2022;Sudeste;SP;3520301.0;Iguape;Total;94,4;98,1;89,5;93,1;94,1;90,4;98,1;91,7;94,1;--
Guaviraty;Guarani Mbya;Iguape;SP;1248;Delimitada;Tradicionalmente ocupada;;Não;2022;Sudeste;SP;3520301.0;Iguape;Urbana;97,5;98,1;96,3;97,5;97,8;96,7;97,8;91,7;100;--
Guaviraty;Guarani Mbya;Iguape;SP;1248;Delimitada;Tradicionalmente ocupada;;Não;2022;Sudeste;SP;3520301.0;Iguape;Rural;72,7;--;72,7;72,7;66,7;68,6;100;--;0;--
Guyraroká;Guarani Kaiowá;Caarapó;MS;11440;Declarada;Tradicionalmente ocupada;;Sim;2022;Centro-Oeste;MS;5002407.0;Caarapó;Total;89,6;96,3;88,8;88,5;84,9;92;93,4;--;100;100
Guyraroká;Guarani Kaiowá;Caarapó;MS;11440;Declarada;Tradicionalmente ocupada;;Sim;2022;Centro-Oeste;MS;5002407.0;Caarapó;Urbana;95,6;96;95,9;97,2;99,3;95,2;93,8;--;100;100
Guyraroká;Guarani Kaiowá;Caarapó;MS;11440;Declarada;Tradicionalmente ocupada;;Sim;2022;Centro-Oeste;MS;5002407.0;Caarapó;Rural;56,3;100;56,3;61,7;47,2;81;91,7;--;100;--
Herarekã Xetá;Xetá;Ivaté;PR;2686;Delimitada;Tradicionalmente ocupada;;Sim;2022;Sul;PR;4111555.0;Ivaté;Total;97,2;96,2;100;98,3;100;97;94,3;--;100;100
Herarekã Xetá;Xetá;Ivaté;PR;2686;Delimitada;Tradicionalmente ocupada;;Sim;2022;Sul;PR;4111555.0;Ivaté;Urbana;97,2;96,2;100;98,3;100;97;94,3;--;100;100
Hãm Yîxux;Maxakali;Ladainha;MG;522,72;Regularizada;Reserva Indígena;;Não;2022;Sudeste;MG;3137007.0;Ladainha;Total;88,2;90,9;87,5;94;97,4;92,2;98,1;--;90,9;--
Hãm Yîxux;Maxakali;Ladainha;MG;522,72;Regularizada;Reserva Indígena;;Não;2022;Sudeste;MG;3137007.0;Ladainha;Urbana;92,9;100;87,5;98,8;100;98,3;98,1;--;95,2;--
Hãm Yîxux;Maxakali;Ladainha;MG;522,72;Regularizada;Reserva Indígena;;Não;2022;Sudeste;MG;3137007.0;Ladainha;Rural;85;75;87,5;85,1;87,5;84,1;--;--;0;--
Icatu;Terena,Kaingang;Braúna;SP;300,9625;Regularizada;Tradicionalmente ocupada;;Não;2022;Sudeste;SP;3507704.0;Braúna;Total;100;100;100;95,2;100;92,3;100;--;--;--
Icatu;Terena,Kaingang;Braúna;SP;300,9625;Regularizada;Tradicionalmente ocupada;;Não;2022;Sudeste;SP;3507704.0;Braúna;Urbana;100;100;100;100;100;100;100;--;--;--
Icatu;Terena,Kaingang;Braúna;SP;300,9625;Regularizada;Tradicionalmente ocupada;;Não;2022;Sudeste;SP;3507704.0;Braúna;Rural;100;--;100;71,4;--;71,4;--;--;--;--
Igarapé Capana;Jamamadí;Boca do Acre;AM;122555,6647;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1300706.0;Boca do Acre;Total;87,7;75;89,6;70,3;68,7;71,4;99;100;96,6;--
Igarapé Capana;Jamamadí;Boca do Acre;AM;122555,6647;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1300706.0;Boca do Acre;Urbana;94,3;75;97,7;98,7;97,6;100;99;100;100;--
Igarapé Capana;Jamamadí;Boca do Acre;AM;122555,6647;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1300706.0;Boca do Acre;Rural;0;--;0;38,5;32,7;45,8;99,1;--;33,3;--
Igarapé Grande;Kambéba;Alvarães;AM;1539,6777;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1300029.0;Alvarães;Total;56,6;50;60;69,1;63,1;74,4;100;100;82,4;--
Igarapé Grande;Kambéba;Alvarães;AM;1539,6777;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1300029.0;Alvarães;Urbana;79,5;73,3;83,3;94,3;90;98,3;100;100;100;--
Igarapé Grande;Kambéba;Alvarães;AM;1539,6777;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1300029.0;Alvarães;Rural;36,4;23,1;41,9;51,9;41;59,8;100;--;54,3;--
Igarapé Lourdes;Gavião de Rondônia;Ji-Paraná;RO;185533,5768;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;RO;1100122.0;Ji-Paraná;Total;91,5;80;93,7;93,5;90,4;95,8;97,4;90,9;100;100
Igarapé Lourdes;Gavião de Rondônia;Ji-Paraná;RO;185533,5768;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;RO;1100122.0;Ji-Paraná;Urbana;91,1;80;93,3;94,9;93,2;96,3;97,9;90,9;100;100
Igarapé Lourdes;Gavião de Rondônia;Ji-Paraná;RO;185533,5768;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;RO;1100122.0;Ji-Paraná;Rural;100;--;100;86,3;66,7;94,1;90,6;--;--;--
Igarapé Ribeirão;Pakaa Nova ;Nova Mamoré;RO;47863,3178;Regularizada;Tradicionalmente ocupada;;Sim;2022;Norte;RO;1100338.0;Nova Mamoré;Total;84,8;100;82,8;86,4;83,2;88,2;100;--;100;--
Igarapé Ribeirão;Pakaa Nova ;Nova Mamoré;RO;47863,3178;Regularizada;Tradicionalmente ocupada;;Sim;2022;Norte;RO;1100338.0;Nova Mamoré;Urbana;84,4;100;79,2;93,4;87,3;98,5;100;--;100;--
Igarapé Ribeirão;Pakaa Nova ;Nova Mamoré;RO;47863,3178;Regularizada;Tradicionalmente ocupada;;Sim;2022;Norte;RO;1100338.0;Nova Mamoré;Rural;85,3;--;85,3;76,8;70,8;78,9;--;--;--;--
Igarapé Taboca do Alto Tarauacá;Isolados;Jordão;AC;287;Em Estudo;Interditada;;Sim;2022;Norte;AC;1200328.0;Jordão;Total;25;77,8;12,8;33,3;78,9;27;87,9;--;100;--
Igarapé Taboca do Alto Tarauacá;Isolados;Jordão;AC;287;Em Estudo;Interditada;;Sim;2022;Norte;AC;1200328.0;Jordão;Urbana;61,1;77,8;44,4;85,7;78,9;91,3;100;--;100;--
Igarapé Taboca do Alto Tarauacá;Isolados;Jordão;AC;287;Em Estudo;Interditada;;Sim;2022;Norte;AC;1200328.0;Jordão;Rural;3,3;--;3,3;14;--;14;81;--;100;--
Iguatemipegua I;Guarani Kaiowá;Iguatemi;MS;41571;Delimitada;Tradicionalmente ocupada;;Sim;2022;Centro-Oeste;MS;5004304.0;Iguatemi;Total;74,6;34,8;100;97;99,1;95,5;100;--;100;100
