terrai_nome;etnia_nome;municipio_nome;uf_sigla;superficie_perimetro_ha;fase_ti;modalidade_ti;reestudo_ti;faixa_fronteira
Awa;Guajá ;Governador Newton Bello,Centro Novo do Maranhão,Zé Doca,São João do Carú;MA;116582,9182;Regularizada;Tradicionalmente ocupada;;Não
Bacurizinho;Guajá ;Grajaú;MA;134040;Declarada;Tradicionalmente ocupada;Reestudo;Não
Bacurizinho;Guajá ;Grajaú;MA;82432,4931;Regularizada;Tradicionalmente ocupada;;Não
Badjonkore;Kayapó;Cumaru do Norte,São Félix do Xingu;PA;221981,6373;Regularizada;Tradicionalmente ocupada;;Não
Bakairi;Bakairí;Planalto da Serra,Paranatinga;MT;61405,4605;Regularizada;Tradicionalmente ocupada;;Não
Balaio;Tukano,Tariana,Desána;São Gabriel da Cachoeira;AM;257281,4601;Regularizada;Tradicionalmente ocupada;;Sim
Banawá;Banawa;Tapauá,Canutama,Lábrea;AM;192659,6666;Regularizada;Tradicionalmente ocupada;;Não
Barata Livramento;Makuxí,Wapixana;Alto Alegre;RR;12883,2701;Regularizada;Tradicionalmente ocupada;;Sim
Barra;Kiriri,Atikum;Muquém de São Francisco;BA;62,2955;Regularizada;Reserva Indígena;;Não
Barra Velha;Pataxó;Porto Seguro;BA;8627,459;Regularizada;Tradicionalmente ocupada;;Não
Barra Velha do Monte Pascoal;Pataxó;Porto Seguro;BA;52748;Delimitada;Tradicionalmente ocupada;Reestudo;Não
Barragem Norte;Xokléng;José Boiteux;SC;860,7268;Regularizada;Reserva Indígena;Principal;Não
Barreira da Missão;Kambéba,Kokama;Tefé;AM;1772,4237;Regularizada;Dominial Indígena;;Não
Barreirinha;Amanayé;Paragominas;PA;2373,8;Regularizada;Tradicionalmente ocupada;;Não
Barro Alto;Kokama;Tonantins;AM;1937,1679;Regularizada;Tradicionalmente ocupada;;Não
Barão de Antonina;Kaingang;São Jerônimo da Serra;PR;3750,722;Regularizada;Tradicionalmente ocupada;;Não
Batelão;Kaiabi;Nova Canaã do Norte,Juara,Tabaporã;MT;117050;Declarada;Tradicionalmente ocupada;;Não
Batovi;Wauja;Gaúcha do Norte;MT;5158,9817;Regularizada;Tradicionalmente ocupada;;Não
Baía dos Guató;Guató ;Barão de Melgaço,Poconé;MT;19216,9606;Homologada;Tradicionalmente ocupada;;Sim
Baú;Kayapó;Altamira;PA;1540930,156;Regularizada;Tradicionalmente ocupada;;Não
Betania;Tikúna;Tonantins,Santo Antônio do Içá,Amaturá;AM;122769,0265;Regularizada;Tradicionalmente ocupada;;Não
Boa Vista - AM;Múra;Careiro da Várzea;AM;337,3562;Regularizada;Tradicionalmente ocupada;;Não
Boa Vista - PR;Kaingang;Laranjeiras do Sul;PR;7336,3308;Declarada;Tradicionalmente ocupada;;Não
Boa Vista Sertão do Promirim;Guaraní;Ubatuba;SP;906,3886;Regularizada;Tradicionalmente ocupada;;Não
Boa Vista Sertão do Promirim;Guaraní;Ubatuba;SP;5420;Delimitada;Tradicionalmente ocupada;Reestudo;Não
Boca do Acre;Apurinã;Boca do Acre,Lábrea;AM;26240,4231;Regularizada;Tradicionalmente ocupada;;Sim
Bom Intento;Tikúna;Benjamin Constant;AM;1613,043;Regularizada;Tradicionalmente ocupada;;Sim
Bom Jesus;Makuxí;Bonfim;RR;859,1271;Regularizada;Tradicionalmente ocupada;;Sim
Boqueirão;Makuxí,Wapixana;Alto Alegre;RR;16354,0776;Regularizada;Tradicionalmente ocupada;;Sim
Bragança-Marituba;Mundurukú;Belterra;PA;13515;Declarada;Tradicionalmente ocupada;;Não
Brejo do Burgo;Pankararé;Glória,Paulo Afonso,Rodelas;BA;17924,8496;Regularizada;Tradicionalmente ocupada;;Não
Buriti;Terena;Sidrolândia,Dois Irmãos do Buriti;MS;2090,1691;Regularizada;Tradicionalmente ocupada;;Não
Buriti;Terena;Sidrolândia,Dois Irmãos do Buriti;MS;17200;Declarada;Tradicionalmente ocupada;Reestudo;Não
Buritizinho;Guarani Kaiowá;Sidrolândia;MS;9,7428;Regularizada;Tradicionalmente ocupada;;Não
Caarapó;Guarani Kaiowá;Caarapó;MS;3594,4154;Regularizada;Tradicionalmente ocupada;;Sim
Cabeceira do Rio Acre;Yaminawa;Sena Madureira,Assis Brasil;AC;78512,5834;Regularizada;Tradicionalmente ocupada;;Sim
Cacau do Tarauaca;Kulina Páno;Envira;AM;28367,2948;Regularizada;Tradicionalmente ocupada;;Não
Cachoeira Seca;Arara do Pará;Altamira,Uruará,Placas;PA;733688,2507;Regularizada;Tradicionalmente ocupada;;Não
Cachoeira dos Inácios;Guarani Mbya;Imaruí;SC;80;Regularizada;Reserva Indígena;;Não
Cachoeirinha;Terena;Miranda;MS;2658,1634;Regularizada;Tradicionalmente ocupada;;Não
Cachoeirinha;Terena;Miranda;MS;36288;Declarada;Tradicionalmente ocupada;Reestudo;Não
Cacique Doble;Guaraní,Kaingang;Cacique Doble,São José do Ouro;RS;4426,2833;Regularizada;Tradicionalmente ocupada;;Não
Cacique Fontoura;Karajá;Luciara,São Félix do Araguaia;MT;32304,7226;Homologada;Tradicionalmente ocupada;;Não
Caieiras Velha II;Guarani Mbya,Tupiniquim;Aracruz;ES;57,3935;Regularizada;Tradicionalmente ocupada;;Não
Caititu;Apurinã;Lábrea;AM;308062,6156;Regularizada;Tradicionalmente ocupada;;Não
Caiçara/Ilha de São Pedro;Xocó;Porto da Folha;SE;4316,7768;Regularizada;Tradicionalmente ocupada;;Não
Cajueiro;Makuxí;Amajari;RR;4303,8482;Regularizada;Tradicionalmente ocupada;;Sim
