LONGITUDE;LATITUDE;NO_MUNICIPIO;NO_REGIAO;SG_UF;CO_MUNICIPIO;Total -educacao infantil;PrÃ©-Escola;Total - findamental;Ensino MÃ©dio;EducaÃ§Ã£o Profissional;EducaÃ§Ã£o de Jovens e Adultos (EJA);EducaÃ§Ã£o Especial;terrai_nome;etnia_nome;modalidade_ti;faixa_fronteira;ha-terra-indigena
-61.597998;-12.179827;parecis;Norte;RO;1101450.0;100.0;100.0;92.7;97.4;0.0;0.0;0.0;Kwazá do Rio São Pedro;Kwazá,Aikanã;Tradicionalmente ocupada;Sim;sim
-61.044379;-13.476562;pimenteiras do oeste;Norte;RO;1101468.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-63.038761;-11.767117;seringueiras;Norte;RO;1101500.0;100.0;100.0;97.3;100.0;66.7;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-62.345146;-10.248731;theobroma;Norte;RO;1101609.0;100.0;100.0;100.0;100.0;0.0;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-62.176823;-9.851393;vale do anari;Norte;RO;1101757.0;100.0;100.0;98.0;94.7;0.0;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-69.563459;-10.942866;assis brasil;Norte;AC;1200054.0;25.9;25.0;42.9;75.0;0.0;90.9;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-67.951859;-9.82002;bujari;Norte;AC;1200138.0;95.2;100.0;88.3;98.3;0.0;90.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-67.673508;-10.569768;capixaba;Norte;AC;1200179.0;55.2;50.0;88.8;97.5;0.0;73.9;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-72.672531;-7.63069;cruzeiro do sul;Norte;AC;1200203.0;62.2;46.5;79.9;92.7;100.0;84.4;0.0;Campinas/Katukina;Katukina;Tradicionalmente ocupada;Sim;sim
-72.672531;-7.63069;cruzeiro do sul;Sul;PR;4106704.0;95.7;100.0;96.7;100.0;0.0;80.0;100.0;Campinas/Katukina;Katukina;Tradicionalmente ocupada;Sim;sim
-72.672531;-7.63069;cruzeiro do sul;Sul;RS;4306205.0;90.8;89.2;86.8;97.1;0.0;0.0;0.0;Campinas/Katukina;Katukina;Tradicionalmente ocupada;Sim;sim
-69.259945;-8.836318;manoel urbano;Norte;AC;1200344.0;56.0;42.1;68.3;90.5;0.0;66.7;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-72.790266;-8.953591;marechal thaumaturgo;Norte;AC;1200351.0;48.0;35.7;53.5;100.0;0.0;88.9;0.0;Arara do Rio Amônia;Arara do Acre;Tradicionalmente ocupada;Sim;sim
-72.742334;-8.266666;porto walter;Norte;AC;1200393.0;20.4;11.9;25.5;79.4;0.0;31.9;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-67.810529;-9.978299;rio branco;Norte;AC;1200401.0;95.9;95.5;97.1;96.9;91.9;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-67.810529;-9.978299;rio branco;Centro-Oeste;MT;5107206.0;76.9;100.0;100.0;100.0;0.0;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-72.647855;-7.733602;rodrigues alves;Norte;AC;1200427.0;49.5;42.6;59.1;74.8;0.0;52.3;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-70.486497;-9.443407;santa rosa do purus;Norte;AC;1200435.0;2.8;0.0;9.7;61.9;0.0;88.9;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-67.743172;-10.148174;senador guiomard;Norte;AC;1200450.0;69.0;61.7;90.1;91.4;0.0;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-68.655684;-9.06534;sena madureira;Norte;AC;1200500.0;77.9;71.7;61.2;82.3;100.0;78.7;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-68.506295;-10.652072;xapuri;Norte;AC;1200708.0;53.8;56.3;84.2;96.8;0.0;83.3;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
